#Format: Name of the component; Relative path to the translation file; Repository url; License; Format (Java, XWiki, XWikiPage)
Map Macro; src/main/resources/Macros/MapMacro/MapMacroTranslations.xml; https://github.com/xwiki-contrib/macro-map; LGPL-2.1; XWiki
Mocca Calendar Application; application-mocca-calendar-ui/src/main/resources/MoccaCalendar/MoccaCalendarTranslations.xml; https://github.com/xwiki-contrib/application-mocca-calendar; LGPL-2.1; XWiki
Mocca Calendar Macro; application-mocca-calendar-ui/src/main/resources/MoccaCalendar/MoccaCalendarMacroTranslations.xml; https://github.com/xwiki-contrib/application-mocca-calendar; LGPL-2.1; XWiki
OCR Application; application-ocr-ui/src/main/resources/OCR/Code/Translations.xml; https://github.com/xwiki-contrib/application-ocr; LGPL-2.1; XWiki
Tesseract OCR Application - Data Files; application-ocr-tesseract/application-ocr-tesseract-ui/src/main/resources/OCR/Tesseract/Code/DataFileTranslations.xml; https://github.com/xwiki-contrib/application-ocr; LGPL-2.1; XWiki
Tesseract OCR Application - UI; application-ocr-tesseract/application-ocr-tesseract-ui/src/main/resources/OCR/Tesseract/Code/Translations.xml; https://github.com/xwiki-contrib/application-ocr; LGPL-2.1; XWiki
Piwik Application; src/main/resources/XWiki/PiwikTranslations.xml; https://github.com/xwiki-contrib/application-piwik; LGPL-2.1; XWiki
Admin Tools Application; src/main/resources/Admin/Translations.xml; https://github.com/xwiki-contrib/application-admintools; LGPL-2.1; XWiki
Invoices; src/main/resources/InvoicesCode/InvoicesTranslations.xml; https://github.com/xwiki-contrib/application-invoices; LGPL-2.1; XWiki
Blog.Translations; application-blog-ui/src/main/resources/Blog/Translations.xml; https://github.com/xwiki-contrib/application-blog; LGPL-2.1; XWiki
Forum Application; application-forum-ui/src/main/resources/ForumCode/Translations.xml; https://github.com/xwiki-contrib/application-forum; LGPL-2.1; XWiki
LDAP Application; ldap-ui/src/main/resources/LDAP/Code/Translations.xml; https://github.com/xwiki-contrib/ldap; LGPL-2.1; XWiki
LimitsApplication; application-limits-api/src/main/resources/ApplicationResources.properties; https://github.com/xwiki-contrib/application-limits; LGPL-2.1; Java
Full Calendar Macro; macro-fullcalendar-ui/src/main/resources/Calendar/Translations.xml; https://github.com/xwiki-contrib/macro-fullcalendar; LGPL-2.1; XWiki
Notes Application; src/main/resources/NotesCode/Translations.xml; https://github.com/xwiki-contrib/application-notes; LGPL-2.1; XWiki
Templates Application; application-templates-ui/src/main/resources/Templates/Translations.xml; https://github.com/xwiki-contrib/application-templates; LGPL-2.1; XWiki
CKEditor Integration; ui/src/main/resources/CKEditor/Translations.xml; https://github.com/xwiki-contrib/application-ckeditor; LGPL-2.1; XWiki
Tour Application; application-tour-ui/src/main/resources/TourCode/TourTranslations.xml; https://github.com/xwiki-contrib/application-tour; LGPL-2.1; XWiki
Polls Application; src/main/resources/Polls/PollL10n.xml; https://github.com/xwiki-contrib/application-polls; LGPL-2.1; XWiki
Flash Messages Application; application-flashmessages-ui/src/main/resources/Flash/Translations.xml; https://github.com/xwiki-contrib/application-flashmessages; LGPL-2.1; XWiki
File Manager Application; ui/src/main/resources/FileManagerCode/Translations.xml; https://github.com/xwiki-contrib/application-filemanager; LGPL-2.1; XWiki
File Manager Application Macros; ui/src/main/resources/FileManager/FileManagerTranslations.xml; https://github.com/xwiki-contrib/application-filemanager; LGPL-2.1; XWiki
JW Player Macro; src/main/resources/Macros/JWPlayerTranslations.xml; https://github.com/xwiki-contrib/macro-jwplayer; LGPL-2.1; XWiki
Meetings Application; ui/src/main/resources/Meeting/Code/Translations.xml; https://github.com/xwiki-contrib/application-meeting; LGPL-2.1; XWiki
PDF Viewer Macro; wiki/src/main/resources/XWiki/PDFViewerMacroTranslations.xml; https://github.com/xwiki-contrib/macro-pdfviewer; LGPL-2.1; XWiki
XPoll Application; application-xpoll-ui/src/main/resources/XPoll/Translation.xml; https://github.com/xwiki-contrib/application-xpoll; LGPL-2.1; XWiki
Ideas Application; src/main/resources/Ideas/IdeasTranslations.xml; https://github.com/xwiki-contrib/application-ideas; LGPL-2.1; XWiki
Page Relations Application; pages/src/main/resources/Ring/Code/Translations.xml; https://github.com/xwiki-contrib/application-page-relations; LGPL-2.1; XWiki
Application Gardening; application-gardening-ui/src/main/resources/Gardening/Code/GardeningTranslations.xml; https://github.com/xwiki-contrib/application-gardening; LGPL-2.1; XWiki
Application Chart.js; application-chartjs-ui/src/main/resources/XWiki/ChartJS/Translations.xml; https://github.com/xwiki-contrib/application-chartjs; LGPL-2.1; XWiki
Application Help Center; src/main/resources/Help/Code/Translations.xml; https://github.com/xwiki-contrib/application-help-center; LGPL-2.1; XWiki
Developer Tools - Syntax Highlighting; editor-tool-highlighting/editor-tool-highlighting-ui/src/main/resources/SyntaxHighlighting/Translations.xml; https://github.com/xwiki-contrib/wiki-editor-devtools.git; LGPL-2.1; XWiki
ActivityPub Notifications; activitypub-notifications/src/main/resources/ApplicationResources.properties; https://github.com/xwiki-contrib/application-activitypub; LGPL-2.1; Java
ActivityPub UI; activitypub-ui/src/main/resources/ActivityPub/ActivityPubTranslations.xml; https://github.com/xwiki-contrib/application-activitypub; LGPL-2.1; XWiki
